[INFO ] 2024-04-07 11:38:16.557 edu.tongji.backend.BackendApplicationTests logStarting 50 [main] ------ Starting BackendApplicationTests using Java 17.0.9 with PID 7948 (started by Administrator in D:\IDEAProj\Tangxiaozhi_Sports_Backend) 
[DEBUG] 2024-04-07 11:38:16.558 edu.tongji.backend.BackendApplicationTests logStarting 51 [main] ------ Running with Spring Boot v3.2.1, Spring v6.1.2 
[INFO ] 2024-04-07 11:38:16.558 edu.tongji.backend.BackendApplicationTests logStartupProfileInfo 668 [main] ------ The following 1 profile is active: "pro" 
[INFO ] 2024-04-07 11:38:19.995 edu.tongji.backend.BackendApplicationTests logStarted 56 [main] ------ Started BackendApplicationTests in 3.782 seconds (process running for 4.64) 
[DEBUG] 2024-04-07 11:38:21.052 edu.tongji.backend.mapper.RunningMapper.selectList debug 135 [main] ------ ==>  Preparing: SELECT exercise_id,pace,distance FROM running 
[TRACE] 2024-04-07 11:38:21.118 edu.tongji.backend.mapper.RunningMapper.selectList trace 141 [main] ------ <==        Row: 2085, 429, 0.02 
[TRACE] 2024-04-07 11:38:21.118 edu.tongji.backend.mapper.RunningMapper.selectList trace 141 [main] ------ <==        Row: 2086, 218, 0.03 
[TRACE] 2024-04-07 11:38:21.119 edu.tongji.backend.mapper.RunningMapper.selectList trace 141 [main] ------ <==        Row: 2087, 481, 0.01 
[TRACE] 2024-04-07 11:38:21.119 edu.tongji.backend.mapper.RunningMapper.selectList trace 141 [main] ------ <==        Row: 2088, 515, 0.04 
[TRACE] 2024-04-07 11:38:21.119 edu.tongji.backend.mapper.RunningMapper.selectList trace 141 [main] ------ <==        Row: 2089, 312, 0.02 
[TRACE] 2024-04-07 11:38:21.120 edu.tongji.backend.mapper.RunningMapper.selectList trace 141 [main] ------ <==        Row: 2090, 877, 0.02 
[TRACE] 2024-04-07 11:38:21.120 edu.tongji.backend.mapper.RunningMapper.selectList trace 141 [main] ------ <==        Row: 2091, 288, 0.03 
[TRACE] 2024-04-07 11:38:21.120 edu.tongji.backend.mapper.RunningMapper.selectList trace 141 [main] ------ <==        Row: 2092, 688, 0.01 
[TRACE] 2024-04-07 11:38:21.120 edu.tongji.backend.mapper.RunningMapper.selectList trace 141 [main] ------ <==        Row: 2093, 744, 0.02 
[TRACE] 2024-04-07 11:38:21.121 edu.tongji.backend.mapper.RunningMapper.selectList trace 141 [main] ------ <==        Row: 2094, 377, 0.03 
[TRACE] 2024-04-07 11:38:21.121 edu.tongji.backend.mapper.RunningMapper.selectList trace 141 [main] ------ <==        Row: 2095, 843, 0.02 
[TRACE] 2024-04-07 11:38:21.121 edu.tongji.backend.mapper.RunningMapper.selectList trace 141 [main] ------ <==        Row: 2096, 333, 0.01 
[TRACE] 2024-04-07 11:38:21.122 edu.tongji.backend.mapper.RunningMapper.selectList trace 141 [main] ------ <==        Row: 2097, 671, 0.03 
[TRACE] 2024-04-07 11:38:21.122 edu.tongji.backend.mapper.RunningMapper.selectList trace 141 [main] ------ <==        Row: 2098, 470, 0.01 
[TRACE] 2024-04-07 11:38:21.122 edu.tongji.backend.mapper.RunningMapper.selectList trace 141 [main] ------ <==        Row: 2099, 551, 0.01 
[TRACE] 2024-04-07 11:38:21.122 edu.tongji.backend.mapper.RunningMapper.selectList trace 141 [main] ------ <==        Row: 2100, 646, 0.01 
[TRACE] 2024-04-07 11:38:21.123 edu.tongji.backend.mapper.RunningMapper.selectList trace 141 [main] ------ <==        Row: 2101, 438, 0.01 
[TRACE] 2024-04-07 11:38:21.123 edu.tongji.backend.mapper.RunningMapper.selectList trace 141 [main] ------ <==        Row: 2102, 407, 0.01 
[TRACE] 2024-04-07 11:38:21.123 edu.tongji.backend.mapper.RunningMapper.selectList trace 141 [main] ------ <==        Row: 2103, 191, 0.03 
[TRACE] 2024-04-07 11:38:21.123 edu.tongji.backend.mapper.RunningMapper.selectList trace 141 [main] ------ <==        Row: 2104, 446, 0.01 
[TRACE] 2024-04-07 11:38:21.124 edu.tongji.backend.mapper.RunningMapper.selectList trace 141 [main] ------ <==        Row: 2105, 343, 0.01 
